provincia,departamento,provincia_norm,departamento_norm,registros,has,suma_asegurada_usd,suma_asegurada_helada_usd,prima_usd,st_pagado_usd,rsp_usd,hyg_usd,siniestros_total_usd,resultado_tecnico_usd,tasa_prima_pct,loss_cost_campania_pct,loss_ratio_pct,share_suma_asegurada_pct,semaforo_loss_ratio
CORDOBA,PRESIDENTE ROQUE SAENZ PEÑA,CORDOBA,PRESIDENTEROQUESAENZPENA,6,10422.83,5586250.949929478,0.0,187475.7122279036,0.0,0.0,0.0,0.0,187475.7122279036,0.03356020234469959,0.0,0.0,0.08606601833807125,Normal
LA PAMPA,MARACO,LAPAMPA,MARACO,5,10513.0,4434554.492242595,0.0,132819.84707085462,0.0,0.0,0.0,0.0,132819.84707085462,0.029951113985226145,0.0,0.0,0.06832210934872979,Normal
LA PAMPA,CONHELLO,LAPAMPA,CONHELLO,5,12892.0,4382695.098730607,0.0,147423.578495252,7924.2175456537625,2006.3804455807158,0.0,9930.597991234477,137492.98050401756,0.033637653355797305,0.002265865584423327,0.06736098860572909,0.06752312420591941,Normal
BUENOS AIRES,GENERAL VILLEGAS,BUENOSAIRES,GENERALVILLEGAS,10,10857.5,4273733.566572637,268566.4527503526,132023.4926661797,950.954565376187,0.0,0.0,950.954565376187,131072.5381008035,0.03089183979525828,0.0002225114295411762,0.007202919315130283,0.06584438021305053,Normal
LA PAMPA,CHAPALEUFU,LAPAMPA,CHAPALEUFU,5,9611.0,3959807.394217207,0.0,146163.77493060628,0.0,0.0,0.0,0.0,146163.77493060628,0.036911839485945654,0.0,0.0,0.06100779554313268,Normal
LA PAMPA,QUEMU QUEMU,LAPAMPA,QUEMUQUEMU,6,9935.0,3727571.012693935,0.0,117061.48016800584,9797.232059897735,5738.569474068663,0.0,15535.801533966398,101525.67863403945,0.03140422537072068,0.004167808334451714,0.13271489059996097,0.05742978573832762,Normal
CORDOBA,SAN JUSTO,CORDOBA,SANJUSTO,4,7814.0,3507381.102961918,0.0,80221.32369612856,713.6809349890431,1871.8688093498904,0.0,2585.5497443389336,77635.77395178963,0.022872143442976056,0.0007371738822894053,0.03223020545176707,0.054037373013100284,Normal
SANTA FE,SAN MARTIN,SANTAFE,SANMARTIN,4,6347.0,3493476.15796897,0.0,79168.4700146092,0.0,0.0,0.0,0.0,79168.4700146092,0.02266180344011164,0.0,0.0,0.05382314288604736,Normal
BUENOS AIRES,LINCOLN,BUENOSAIRES,LINCOLN,4,6913.0,2921327.3624823694,0.0,63959.90202337472,50015.342775748715,1189.1959313367422,0.0,51204.538707085456,12755.363316289266,0.021894123488106935,0.017527833191407518,0.8005725006953934,0.045008184667051344,Atención
BUENOS AIRES,PUAN,BUENOSAIRES,PUAN,5,8692.0,2542632.492947814,258876.86530324398,79214.9446092038,165369.9884879474,8155.649802775749,0.0,173525.63829072317,-94310.69368151938,0.03115469688557529,0.0682464488171255,2.190566933383447,0.039173724332557065,Crítico
CORDOBA,JUAREZ CELMAN,CORDOBA,JUAREZCELMAN,3,4244.0,2050135.1339915374,0.0,77906.86335281227,18632.169466764062,602.6203871439006,0.0,19234.78985390796,58672.07349890431,0.03800084299864199,0.009382205853161756,0.24689467687590616,0.03158593654656122,Normal
CORDOBA,TERCERO ARRIBA,CORDOBA,TERCEROARRIBA,4,5026.0,1871792.7150916785,0.0,99804.39742147553,3974.790357925493,6016.660555149744,0.0,9991.450913075238,89812.94650840029,0.05332021896270026,0.005337904583406751,0.10011032751273659,0.028838257999165312,Normal
CORDOBA,RIO CUARTO,CORDOBA,RIOCUARTO,4,5330.92,1838584.6438645981,0.0,118926.69332359386,759.9747260774288,800.9284149013879,0.0,1560.9031409788167,117365.79018261505,0.06468382824824255,0.0008489699651237644,0.013124918362370286,0.0283266292712726,Normal
CORDOBA,GENERAL ROCA,CORDOBA,GENERALROCA,5,4254.0,1729809.7849083217,0.0,73453.68706355004,0.0,0.0,0.0,0.0,73453.68706355004,0.04246344754457671,0.0,0.0,0.02665076130730829,Normal
LA PAMPA,CATRILO,LAPAMPA,CATRILO,4,8636.0,1645361.005641749,0.0,59460.95220598978,0.0,0.0,0.0,0.0,59460.95220598978,0.036138544673238994,0.0,0.0,0.025349679374160203,Normal
BUENOS AIRES,ADOLFO ALSINA,BUENOSAIRES,ADOLFOALSINA,7,3876.0,1280660.789844852,284158.56135401974,48188.222366691014,125285.1234477721,1366.4740759678598,0.0,126651.59752373995,-78463.37515704894,0.03762762376173699,0.09889550654477632,2.628268720102963,0.019730831287668397,Crítico
BUENOS AIRES,BALCARCE,BUENOSAIRES,BALCARCE,4,1986.7,1136908.4485190408,0.0,31705.777384952522,16969.725872899926,1798.7877282688096,0.0,18768.513601168735,12937.263783783786,0.02788771376116792,0.016508377280173236,0.5919587895068052,0.017516073705958944,Normal
SANTA FE,ROSARIO,SANTAFE,ROSARIO,4,2389.5,1018992.0486600846,0.0,30260.482425127833,1144.1197954711467,1547.256245434624,0.0,2691.3760409057704,27569.10638422206,0.029696485330693807,0.002641213976541597,0.08894028862774817,0.01569936423057306,Normal
BUENOS AIRES,BOLIVAR,BUENOSAIRES,BOLIVAR,6,1880.0,955436.8095909732,90812.83497884344,27660.993367421477,57225.6911614317,2734.075493060628,0.0,59959.76665449233,-32298.77328707085,0.02895114892973746,0.06275639168660602,2.1676649807201662,0.014720184021837238,Crítico
LA PAMPA,RANCUL,LAPAMPA,RANCUL,3,5516.0,790792.224964739,0.0,23279.965405405404,0.0,0.0,0.0,0.0,23279.965405405404,0.02943878893908377,0.0,0.0,0.012183544696694769,Normal
BUENOS AIRES,MAIPU,BUENOSAIRES,MAIPU,3,1000.11,766214.5973201692,0.0,20201.67265887509,0.0,0.0,0.0,0.0,20201.67265887509,0.026365554414559986,0.0,0.0,0.011804883127330338,Normal
BUENOS AIRES,CORONEL SUAREZ,BUENOSAIRES,CORONELSUAREZ,7,2305.0,687360.8603667137,84824.30183356842,25805.301256391525,9609.056508400292,1527.492520087655,0.0,11136.549028487947,14668.752227903578,0.0375425816980969,0.016201895788111195,0.43156051223116865,0.01059000265892832,Normal
SANTA FE,GENERAL LOPEZ,SANTAFE,GENERALLOPEZ,3,1356.5,603742.9830747532,0.0,15950.673703433164,0.0,0.0,0.0,0.0,15950.673703433164,0.02641964238192763,0.0,0.0,0.00930172223169629,Normal
LA PAMPA,TRENEL,LAPAMPA,TRENEL,5,2291.0,600696.2270803949,0.0,20105.587428780134,0.0,0.0,0.0,0.0,20105.587428780134,0.03347047396402122,0.0,0.0,0.009254781598410674,Normal
BUENOS AIRES,LEANDRO N. ALEM,BUENOSAIRES,LEANDRONALEM,3,1242.0,534601.8688293371,0.0,9834.221577794011,0.0,0.0,0.0,0.0,9834.221577794011,0.018395411896574246,0.0,0.0,0.008236481794075818,Normal
CORDOBA,RIO PRIMERO,CORDOBA,RIOPRIMERO,3,1335.0,506160.71932299016,0.0,21704.323601168737,0.0,0.0,0.0,0.0,21704.323601168737,0.04288030021412788,0.0,0.0,0.007798295877096921,Normal
LA PAMPA,GUATRACHE,LAPAMPA,GUATRACHE,2,1588.0,500276.3751763046,111481.94640338505,17293.066077428783,49762.3711541271,1786.0288531775018,0.0,51548.400007304605,-34255.33392987582,0.034567025219478846,0.10303984470411622,2.98087104834385,0.0077076372089175844,Crítico
BUENOS AIRES,RAMALLO,BUENOSAIRES,RAMALLO,2,1996.0,468104.53102961916,0.0,13377.204046749455,0.0,0.0,0.0,0.0,13377.204046749455,0.02857738637420499,0.0,0.0,0.007211973381224137,Normal
BUENOS AIRES,9 DE JULIO,BUENOSAIRES,9DEJULIO,2,778.0,463417.06629055005,0.0,9913.318685171658,0.0,0.0,0.0,0.0,9913.318685171658,0.021391785944620937,0.0,0.0,0.007139754744824196,Normal
BUENOS AIRES,TANDIL,BUENOSAIRES,TANDIL,6,749.5,451950.0,36291.9605077574,16684.867932797664,0.0,0.0,0.0,0.0,16684.867932797664,0.03691750842526311,0.0,0.0,0.006963084425769013,Normal
BUENOS AIRES,OLAVARRIA,BUENOSAIRES,OLAVARRIA,2,677.0,447063.4696755994,0.0,12392.781738495252,0.0,0.0,0.0,0.0,12392.781738495252,0.027720407904246278,0.0,0.0,0.006887798834004699,Normal
BUENOS AIRES,CARLOS TEJEDOR,BUENOSAIRES,CARLOSTEJEDOR,2,709.0,401380.95909732016,0.0,9043.774974433893,0.0,0.0,0.0,0.0,9043.774974433893,0.02253164922116076,0.0,0.0,0.006183979433766521,Normal
BUENOS AIRES,BRAGADO,BUENOSAIRES,BRAGADO,2,555.0,379083.70944992953,0.0,9768.857056245435,0.0,0.0,0.0,0.0,9768.857056245435,0.025769656708331156,0.0,0.0,0.005840451097098241,Normal
BUENOS AIRES,BENITO JUAREZ,BUENOSAIRES,BENITOJUAREZ,3,592.0,336914.8095909732,0.0,11030.95788166545,0.0,0.0,0.0,0.0,11030.95788166545,0.032741089342606916,0.0,0.0,0.0051907650480669055,Normal
SANTA FE,9 DE JULIO,SANTAFE,9DEJULIO,1,1407.7,304326.5162200282,0.0,14090.295471146823,0.0,0.0,0.0,0.0,14090.295471146823,0.04629992695398101,0.0,0.0,0.004688685087819935,Normal
CORDOBA,GENERAL SAN MARTIN,CORDOBA,GENERALSANMARTIN,3,687.0,303619.88716502115,0.0,15128.680496712928,0.0,0.0,0.0,0.0,15128.680496712928,0.04982769948956046,0.0,0.0,0.00467779822474279,Normal
BUENOS AIRES,ROJAS,BUENOSAIRES,ROJAS,3,442.0,302095.55712270807,0.0,7937.374981738496,0.0,0.0,0.0,0.0,7937.374981738496,0.026274385023525575,0.0,0.0,0.0046543132401706865,Normal
BUENOS AIRES,RIVADAVIA,BUENOSAIRES,RIVADAVIA,2,1565.0,287050.33497884346,0.0,9626.814609203799,0.0,0.0,0.0,0.0,9626.814609203799,0.03353702621497838,0.0,0.0,0.004422515138628085,Normal
BUENOS AIRES,TORNQUIST,BUENOSAIRES,TORNQUIST,3,780.0,272361.21297602257,128858.25105782793,12432.504105186268,39318.93294375457,2275.5478086194303,0.0,41594.480752374,-29161.97664718773,0.0456471168171834,0.15271807721033975,3.3456237295769484,0.004196203385898661,Crítico
BUENOS AIRES,COLON,BUENOSAIRES,COLON,3,438.8,248639.22651622002,0.0,4591.329240321402,0.0,0.0,0.0,0.0,4591.329240321402,0.01846582819876125,0.0,0.0,0.0038307244734823442,Normal
SANTA FE,IRIONDO,SANTAFE,IRIONDO,2,450.0,237469.88716502115,7512.77856135402,6574.377348429512,0.0,0.0,0.0,0.0,6574.377348429512,0.027685099053678688,0.0,0.0,0.0036586411614291043,Normal
BUENOS AIRES,PEHUAJO,BUENOSAIRES,PEHUAJO,3,491.0,221939.42172073343,61018.095909732016,7675.8340759678595,35328.97472607743,680.4285609934258,0.0,36009.403287070854,-28333.569211102997,0.03458526663021754,0.16224879297190167,4.691269109087714,0.0034193670336272156,Crítico
LA PAMPA,CAPITAL,LAPAMPA,CAPITAL,2,555.0,193742.15444287728,0.0,6565.214302410519,3540.1873630387145,631.476523009496,0.0,4171.663886048211,2393.5504163623077,0.03388634921134935,0.02153204034529398,0.6354193014714722,0.0029849385512028623,Normal
BUENOS AIRES,GENERAL PINTO,BUENOSAIRES,GENERALPINTO,3,481.0,167541.22002820874,0.0,4629.78981008035,0.0,0.0,0.0,0.0,4629.78981008035,0.027633735801260356,0.0,0.0,0.002581267086741365,Normal
SANTA FE,BELGRANO,SANTAFE,BELGRANO,3,414.0,167172.91960507756,0.0,4214.893455076698,0.0,0.0,0.0,0.0,4214.893455076698,0.02521277647739711,0.0,0.0,0.0025755927711305477,Normal
SANTA FE,CASEROS,SANTAFE,CASEROS,2,269.0,162870.38081805359,78466.79830747531,7115.009379108838,0.0,0.0,0.0,0.0,7115.009379108838,0.043685103106974287,0.0,0.0,0.0025093045958474547,Normal
BUENOS AIRES,25 DE MAYO,BUENOSAIRES,25DEMAYO,2,153.0,145913.769393512,0.0,6423.296800584369,0.0,0.0,0.0,0.0,6423.296800584369,0.04402118338305349,0.0,0.0,0.0022480581815891463,Normal
CORDOBA,UNION,CORDOBA,UNION,2,295.0,137278.20874471084,0.0,3725.4379108838566,0.0,0.0,0.0,0.0,3725.4379108838566,0.027137868019620363,0.0,0.0,0.0021150121856571822,Normal
BUENOS AIRES,EXALTACION DE LA CRUZ,BUENOSAIRES,EXALTACIONDELACRUZ,1,246.0,128811.70662905501,0.0,2401.599707815924,0.0,0.0,0.0,0.0,2401.599707815924,0.01864426588750913,0.0,0.0,0.0019845708336884613,Normal
BUENOS AIRES,TRES LOMAS,BUENOSAIRES,TRESLOMAS,4,199.0,119585.40197461212,0.0,3402.0983272461654,0.0,0.0,0.0,0.0,3402.0983272461654,0.028449110602717445,0.0,0.0,0.0018424233876286064,Normal
BUENOS AIRES,DAIREAUX,BUENOSAIRES,DAIREAUX,1,230.1,112859.34414668547,0.0,3413.4485025566105,97272.19138056975,668.8625273922571,0.0,97941.053907962,-94527.6054054054,0.030245156290471486,0.8678151964153373,28.692700017183782,0.0017387966401820796,Crítico
BUENOS AIRES,PERGAMINO,BUENOSAIRES,PERGAMINO,1,442.0,99990.2538787024,0.0,2505.762512783054,0.0,0.0,0.0,0.0,2505.762512783054,0.02506006751240756,0.0,0.0,0.0015405256765382948,Normal
BUENOS AIRES,CHIVILCOY,BUENOSAIRES,CHIVILCOY,1,216.5,96301.27644569817,0.0,2743.0715266617967,0.0,0.0,0.0,0.0,2743.0715266617967,0.028484269657718865,0.0,0.0,0.00148369049275521,Normal
CORDOBA,RIO TERCERO,CORDOBA,RIOTERCERO,3,258.0,88702.7503526093,0.0,4744.578195763331,744.5609934258583,675.536523009496,0.0,1420.0975164353545,3324.4806793279768,0.05348851277894748,0.01600962214576451,0.2993095398245159,0.0013666218375995812,Normal
BUENOS AIRES,LOBERIA,BUENOSAIRES,LOBERIA,1,143.0,79466.85472496474,0.0,2683.344338933528,0.0,0.0,0.0,0.0,2683.344338933528,0.03376683710737765,0.0,0.0,0.0012243266257334897,Normal
BUENOS AIRES,SALLIQUELLO,BUENOSAIRES,SALLIQUELLO,2,198.0,78266.25528913963,0.0,1867.4089043097151,0.0,0.0,0.0,0.0,1867.4089043097151,0.023859694033027797,0.0,0.0,0.001205829280378515,Normal
BUENOS AIRES,GENERAL ARENALES,BUENOSAIRES,GENERALARENALES,2,119.0,78154.65444287729,26659.92947813822,2874.2098246895544,0.0,0.0,0.0,0.0,2874.2098246895544,0.03677592646501041,0.0,0.0,0.0012041098731110918,Normal
CORDOBA,SANTA MARIA,CORDOBA,SANTAMARIA,1,530.0,77906.82299012694,0.0,3752.3370270270266,0.0,0.0,0.0,0.0,3752.3370270270266,0.04816442107390975,0.0,0.0,0.0012002915938128028,Normal
BUENOS AIRES,JUNIN,BUENOSAIRES,JUNIN,2,110.0,73371.65021156559,18822.990126939352,2662.6675821767712,0.0,0.0,0.0,0.0,2662.6675821767712,0.03629014168959027,0.0,0.0,0.0011304192828435094,Normal
LA PAMPA,ATREUCO,LAPAMPA,ATREUCO,1,140.0,72443.58251057829,0.0,1995.9715120525932,0.0,0.0,0.0,0.0,1995.9715120525932,0.02755208181154127,0.0,0.0,0.0011161207680635472,Normal
SAN LUIS,SAN LUIS,SANLUIS,SANLUIS,1,440.0,64510.57827926657,0.0,5512.615047479912,0.0,0.0,0.0,0.0,5512.615047479912,0.08545288531775018,0.0,0.0,0.0009938988890667417,Normal
BUENOS AIRES,PILA,BUENOSAIRES,PILA,1,91.5,56177.64456981664,0.0,2304.260073046019,0.0,0.0,0.0,0.0,2304.260073046019,0.04101738495252009,0.0,0.0,0.0008655153932525223,Normal
SANTA FE,SAN JUSTO,SANTAFE,SANJUSTO,1,74.0,47874.97531734838,0.0,2435.9630752373996,0.0,0.0,0.0,0.0,2435.9630752373996,0.05088176148583169,0.0,0.0,0.0007375981746129094,Normal
BUENOS AIRES,GUAMINI,BUENOSAIRES,GUAMINI,1,70.0,43007.052186177716,0.0,2093.680058436815,0.0,0.0,0.0,0.0,2093.680058436815,0.048682249817384955,0.0,0.0,0.0006625992593778277,Normal
CORDOBA,RIO SEGUNDO,CORDOBA,RIOSEGUNDO,1,528.0,38673.728631875885,0.0,1862.6963623082545,0.0,0.0,0.0,0.0,1862.6963623082545,0.04816438518351117,0.0,0.0,0.0005958367906251403,Normal
BUENOS AIRES,SAAVEDRA,BUENOSAIRES,SAAVEDRA,2,105.0,27254.055007052186,6281.911142454161,1017.1349086924762,0.0,0.0,0.0,0.0,1017.1349086924762,0.037320498121445965,0.0,0.0,0.0004198966389172631,Normal
BUENOS AIRES,CHASCOMUS,BUENOSAIRES,CHASCOMUS,1,41.5,25479.47813822285,0.0,1045.1015631848065,0.0,0.0,0.0,0.0,1045.1015631848065,0.04101738495252009,0.0,0.0,0.000392556161966991,Normal
SANTA FE,SAN LORENZO,SANTAFE,SANLORENZO,1,46.0,17673.342736248236,0.0,512.5656683710738,0.0,0.0,0.0,0.0,512.5656683710738,0.02900219138056976,0.0,0.0,0.00027228892036297825,Normal
SANTA FE,CONSTITUCION,SANTAFE,CONSTITUCION,2,40.0,14104.372355430183,0.0,402.6661796932067,0.0,0.0,0.0,0.0,402.6661796932067,0.028549032140248353,0.0,0.0,0.00021730265623043019,Normal
BUENOS AIRES,CAPITAN SARMIENTO,BUENOSAIRES,CAPITANSARMIENTO,1,31.0,12985.89562764457,0.0,279.7744338933528,0.0,0.0,0.0,0.0,279.7744338933528,0.021544485025566107,0.0,0.0,0.00020007055559135707,Normal
BUENOS AIRES,SAN NICOLAS,BUENOSAIRES,SANNICOLAS,1,14.0,6086.741889985896,0.0,153.2918918918919,0.0,0.0,0.0,0.0,153.2918918918919,0.025184555984555986,0.0,0.0,9.377696129624216e-05,Normal
